-------------------------------------------------------------------------
| ID    | Intersections                            | Win Count  | Score |
-------------------------------------------------------------------------
| #1    | {3, 5, 74, 76, 79, 81, 21, 89}           | 8          | 128   |
| #2    | {70, 74, 14, 16, 83, 53, 23, 24, 57, 59} | 10         | 512   |
| #3    | {4, 69, 12, 77, 13, 14, 48, 81, 18, 55}  | 10         | 512   |
| #4    | {32, 35, 36, 5, 40, 46, 15, 16, 57, 27}  | 10         | 512   |
| #5    | {96, 36, 7, 8, 72, 45, 13, 14, 17, 57}   | 10         | 512   |
| #6    | {5, 70, 8, 11, 46, 22, 55, 89, 91, 31}   | 10         | 512   |
| #7    | {97, 66, 5, 44, 45, 19, 86, 24, 57, 29}  | 10         | 512   |
| #8    | {67, 4, 39, 77, 47, 50, 51, 52, 91, 63}  | 10         | 512   |
| #9    | {2, 99, 69, 39, 41, 15, 51, 63}          | 8          | 128   |
| #10   | {96, 34, 71, 42, 75, 84, 90, 31}         | 8          | 128   |
| #11   | {82}                                     | 1          | 1     |
| #12   | {3, 51, 99, 88}                          | 4          | 8     |
| #13   | {}                                       | 0          | 0     |
| #14   | {88, 99, 61, 86}                         | 4          | 8     |
| #15   | {59, 46, 23}                             | 3          | 4     |
| #16   | {76, 54}                                 | 2          | 2     |
| #17   | {96, 18, 20, 55}                         | 4          | 8     |
| #18   | {62, 47}                                 | 2          | 2     |
| #19   | {40}                                     | 1          | 1     |
| #20   | {64, 82, 93, 87}                         | 4          | 8     |
| #21   | {}                                       | 0          | 0     |
| #22   | {1, 55}                                  | 2          | 2     |
| #23   | {}                                       | 0          | 0     |
| #24   | {}                                       | 0          | 0     |
| #25   | {96, 24, 93, 14}                         | 4          | 8     |
| #26   | {64, 99, 8, 73, 77, 23, 95}              | 7          | 64    |
| #27   | {40, 24, 56, 85}                         | 4          | 8     |
| #28   | {99, 4, 5, 71, 16, 52, 20, 88, 25, 94}   | 10         | 512   |
| #29   | {80}                                     | 1          | 1     |
| #30   | {65, 43, 95, 55}                         | 4          | 8     |
| #31   | {96, 33, 34, 64, 14, 29, 62}             | 7          | 64    |
| #32   | {97, 4, 39, 13, 52, 88, 92}              | 7          | 64    |
| #33   | {33, 3, 38, 8, 81, 53, 94}               | 7          | 64    |
| #34   | {16, 20, 38}                             | 3          | 4     |
| #35   | {74, 78}                                 | 2          | 2     |
| #36   | {80, 59, 38}                             | 3          | 4     |
| #37   | {82, 45, 87}                             | 3          | 4     |
| #38   | {96, 24}                                 | 2          | 2     |
| #39   | {}                                       | 0          | 0     |
| #40   | {}                                       | 0          | 0     |
| #41   | {97, 98, 33, 5, 6, 15, 48, 84, 89, 91}   | 10         | 512   |
| #42   | {10}                                     | 1          | 1     |
| #43   | {97, 36, 69, 12, 13, 49, 53, 87, 59, 95} | 10         | 512   |
| #44   | {32, 2, 5, 44, 16, 83, 53, 89, 27, 30}   | 10         | 512   |
| #45   | {7}                                      | 1          | 1     |
| #46   | {74, 10, 36}                             | 3          | 4     |
| #47   | {1, 36, 8, 42, 76, 77, 16, 17, 88, 95}   | 10         | 512   |
| #48   | {38, 39, 44, 55, 87, 61, 94}             | 7          | 64    |
| #49   | {68, 75, 14, 89, 90, 92}                 | 6          | 32    |
| #50   | {25, 47}                                 | 2          | 2     |
| #51   | {43, 11, 85}                             | 3          | 4     |
| #52   | {34, 2, 37, 44, 46, 17, 82, 56, 29}      | 9          | 256   |
| #53   | {2, 70, 40, 75, 91, 92, 93, 31}          | 8          | 128   |
| #54   | {98, 70, 40, 43, 79, 49, 81}             | 7          | 64    |
| #55   | {27, 3, 38, 15}                          | 4          | 8     |
| #56   | {35, 78, 22}                             | 3          | 4     |
| #57   | {}                                       | 0          | 0     |
| #58   | {61, 70}                                 | 2          | 2     |
| #59   | {97, 77}                                 | 2          | 2     |
| #60   | {}                                       | 0          | 0     |
| #61   | {}                                       | 0          | 0     |
| #62   | {}                                       | 0          | 0     |
| #63   | {1, 2, 67, 7, 73, 82, 19, 27}            | 8          | 128   |
